Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
HDFCBANK,EQ,2018-07-03,2073.25,2073.25,2085.0,2065.6,2070,2070.2,2073.27,1715775,3557268418.0,64961,1133429,66.06,7,2018,1883.321996173938,-0.0014711202218740116,Slight or No change
HDFCBANK,EQ,2018-07-04,2070.2,2076.25,2108.05,2069.0,2100.9,2103.55,2090.23,1524498,3186547035.0,67233,867409,56.9,7,2018,1884.030554273443,0.016109554632402823,Slight or No change
HDFCBANK,EQ,2018-07-05,2103.55,2105.0,2129.0,2092.55,2120.5,2123.75,2119.49,2433992,5158831728.0,135292,1634932,67.17,7,2018,1885.2556592109054,0.009602814290128547,Slight or No change
HDFCBANK,EQ,2018-07-06,2123.75,2113.3,2135.55,2111.35,2118,2115.15,2122.21,2030336,4308795256.0,76333,1394036,68.66,7,2018,1886.2315463567265,-0.004049440847557317,Slight or No change
HDFCBANK,EQ,2018-07-09,2115.15,2121.85,2130.0,2107.75,2126.4,2125.65,2123.14,1545574,3281471871.0,56861,957033,61.92,7,2018,1887.0027156032772,0.00496418693709666,Slight or No change
HDFCBANK,EQ,2018-07-10,2125.65,2129.9,2149.6,2125.0,2148,2146.4,2144.28,2737684,5870364268.0,80725,1953799,71.37,7,2018,1888.4742832839102,0.00976171994448749,Slight or No change
HDFCBANK,EQ,2018-07-11,2146.4,2145.05,2155.7,2134.8,2148.75,2148.25,2148.79,1464480,3146852928.0,63991,828199,56.55,7,2018,1889.2602380277042,0.0008619083115914972,Slight or No change
HDFCBANK,EQ,2018-07-12,2148.25,2152.9,2179.85,2152.0,2163.05,2165.95,2170.17,2005167,4351559175.0,87962,926204,46.19,7,2018,1890.401706229198,0.008239264517630573,Slight or No change
HDFCBANK,EQ,2018-07-13,2165.95,2168.4,2190.8,2163.1,2181,2180.9,2182.75,1790297,3907766216.0,71689,1108502,61.92,7,2018,1891.4677919367039,0.006902283062859338,Slight or No change
HDFCBANK,EQ,2018-07-16,2180.9,2179.4,2190.05,2163.75,2169,2168.85,2173.65,2254334,4900127771.0,108838,1668988,74.03,7,2018,1892.7436960417363,-0.005525241872621489,Slight or No change
HDFCBANK,EQ,2018-07-17,2168.85,2163.25,2181.0,2163.25,2179.35,2176.75,2174.09,1590481,3457854302.0,67757,1122147,70.55,7,2018,1893.6623892821328,0.0036424833437076476,Slight or No change
HDFCBANK,EQ,2018-07-18,2176.75,2187.0,2220.0,2173.65,2175.05,2176.2,2197.09,4365068,9590431537.0,171949,2759227,63.21,7,2018,1896.1486277076237,-0.00025267026530384484,Slight or No change
HDFCBANK,EQ,2018-07-19,2176.2,2183.0,2193.5,2171.0,2189.85,2186.1,2183.12,1326194,2895239288.0,64415,577761,43.57,7,2018,1896.9217499652023,0.00454921422663368,Slight or No change
HDFCBANK,EQ,2018-07-20,2186.1,2186.1,2202.85,2171.1,2185,2189.05,2181.89,2501741,5458512868.0,106355,1752814,70.06,7,2018,1898.3837684894092,0.0013494350670144595,Slight or No change
HDFCBANK,EQ,2018-07-23,2189.05,2150.0,2178.0,2138.05,2149.7,2156.45,2161.43,4220033,9121307521.0,133259,2430709,57.6,7,2018,1900.5441627335426,-0.014892304881112928,Slight or No change
HDFCBANK,EQ,2018-07-24,2156.45,2147.0,2169.0,2147.0,2162.5,2159.75,2161.82,1302198,2815119558.0,68274,675430,51.87,7,2018,1901.2120256816456,0.0015302928424030249,Slight or No change
HDFCBANK,EQ,2018-07-25,2159.75,2164.65,2176.8,2160.0,2171.5,2170.35,2169.01,1759654,3816707951.0,90191,1050926,59.72,7,2018,1902.1458353089727,0.004907975460122671,Slight or No change
HDFCBANK,EQ,2018-07-26,2170.35,2165.0,2203.45,2165.0,2197.1,2192.6,2187.34,5320273,11637254767.0,127857,3327638,62.55,7,2018,1905.1611694279497,0.010251802704632995,Slight or No change
HDFCBANK,EQ,2018-07-27,2192.6,2201.95,2211.95,2184.7,2203.05,2202.15,2198.69,2638649,5801564431.0,89804,1858964,70.45,7,2018,1906.6824709482253,0.004355559609596105,Slight or No change
HDFCBANK,EQ,2018-07-30,2202.15,2199.0,2199.0,2159.4,2164.7,2169.9,2172.52,1792280,3893772395.0,74697,1033733,57.68,7,2018,1907.5951241505536,-0.014644778966010463,Slight or No change
HDFCBANK,EQ,2018-07-31,2169.9,2160.0,2185.9,2150.05,2183.45,2179.5,2166.28,2215236,4798817148.0,98101,1349477,60.92,7,2018,1908.755409754573,0.004424167012304636,Slight or No change
HDFCBANK,EQ,2018-08-01,2179.5,2162.8,2175.0,2151.7,2153.7,2158.7,2165.15,1517890,3286456658.0,70160,970508,63.94,8,2018,1909.4841016706562,-0.009543473273686653,Slight or No change
HDFCBANK,EQ,2018-08-02,2158.7,2153.5,2153.7,2121.35,2131.6,2130.2,2133.82,2226426,4750789247.0,99571,1420930,63.82,8,2018,1910.4239301005657,-0.013202390327511915,Slight or No change
HDFCBANK,EQ,2018-08-03,2130.2,2133.55,2147.05,2114.0,2121.25,2121.65,2125.56,3401002,7229046230.0,96409,2509448,73.79,8,2018,1911.7889701189695,-0.00401370763308595,Slight or No change
